Item ID,BRAND,Bike Model ,Size ,Status,Colour ,Groupset ,Bought for ,Sold for ,SOLD BY ,Incentive price ,,,,,,,,,,,,,,,,
HYBRID ,,,,,,,,,,,,,,,,,,,,,,,,,,
,Montra,Downtown,L,Sold,Pink,,9k,12k ,AJIT,,,,,,,,,,,,,,,,,
,Schwin,4,M/L,Sold,Silver,,,14K,AJIT,,,,,,,,,,,,,,,,,
,Bergamont,Helix 1.5i,S,Sold,Green,,,16K,AJIT,,,,,,,,,,,,,,,,,
,Merida,Crossway,S/M,Sold,Black,,,10k,SANJU ,,,,,,,,,,,,,,,,,
,Raleigh,Driveline,M,Sold,Black,,,13K,SANJU ,,,,,,,,,,,,,,,,,
,Montra,Downtown,L,Sold,Grey,,,,SANJU ,,,,,,,,,,,,,,,,,
,Trek,FX 3,L,Sold,BK/Blue,,,35K,SANJU ,,,,,,,,,,,,,,,,,
,Fuji,Two,S/M,Sold,Black,OTHER,,16K,PRAKASH,,,,,,,,,,,,,,,,,
,KHS,Vitamin,S,Sold,Red,,,,SURESH,,,,,,,,,,,,,,,,,
,Bergamont,Helix 1.5i,M,Available ,Blue,,,0,,,,,,,,,,,,,,,,,,
,Firefox,Meteor,M,Available ,Blue,,,,,,,,,,,,,,,,,,,,,
,Giant,Escape,XL,Available ,Blue,,,,,,,,,,,,,,,,,,,,,
,Veloce,Junior,24,Available ,Red,,,,,,,,,,,,,,,,,,,,,
,Shnell,1000,L,Available ,Grey,,,,,,,,,,,,,,,,,,,,,
,Fantom SS,,M,Available ,Red / Blk,,,,,,,,,,,,,,,,,,,,,
,Keysto,,M,Available ,Black,,,,,,,,,,,,,,,,,,,,,
,Polygon,Kids,20,Available ,Black / blue,,,,,,,,,,,,,,,,,,,,,
,Schwin,,M,Available ,Blue,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scott,Addict 10,L,Sold,Blue,,,1.5L,SURESH,,,,,,,,,,,,,,,,,
,Trek,Doamne AL 3,54,Sold,Grey,,,65K,SANJU ,,,,,,,,,,,,,,,,,
,Merida,Speeder 500,S,Sold,Blue,,,45K,SANJU ,,,,,,,,,,,,,,,,,
,Merida,Ride 100,S/M,Sold,Black,,,30K,SANJU ,,,,,,,,,,,,,,,,,
,Java,Fucco disc,51,Sold,Grey,,,1L,SANJU ,,,,,,,,,,,,,,,,,
,Trek,Domane AL 2,54,Sold,Red,,,55K,SANJU ,,,,,,,,,,,,,,,,,
,Lapierre,Xelius SL 500,M,Sold,Orange,,,105000,SANJU ,,,,,,,,,,,,,,,,,
,Specialized,Tarmac,52,Sold,Black,,,,SANJU ,,,,,,,,,,,,,,,,,
,Specialized,Tarmac,52,Sold,Black,,,,SANJU ,,,,,,,,,,,,,,,,,
,Giant,,XS,Sold,Blue,,,30K,SANJU ,,,,,,,,,,,,,,,,,
,Upland,Impelsa 200,M,Sold,Black,,,,SANJU ,,,,,,,,,,,,,,,,,
,Scott,Speedster,XS,Sold,Black,105,,60K,SANJU ,,,,,,,,,,,,,,,,,
,Scott,Speedster 20,M,Sold,Green,,,,SANJU ,,,,,,,,,,,,,,,,,
,Java,Siluro 3,50,Sold,Black,Sora,,40K,AJIT,,,,,,,,,,,,,,,,,
,Cannonadle,Caad 8,M,Sold,Black/White,,,,AJIT,,,,,,,,,,,,,,,,,
